question,option_a,score_a,option_b,score_b,option_c,score_c,option_d,score_d
투자할 때 가장 중요하게 생각하는 것은?,원금 보존,1,안정적인 수익,2,안정성과 수익의 균형,3,높은 수익률,5
투자금이 10% 하락하면 어떻게 할 것인가?,바로 매도한다,1,불안하지만 기다린다,2,원인을 분석하고 유지한다,3,추가 매수 기회로 본다,5
선호하는 투자 기간은?,6개월 이하,1,1년 정도,2,2~3년,3,5년 이상,5
투자 경험은 어느 정도인가?,거의 없다,1,예금과 적금 위주,2,주식이나 펀드 경험 있음,3,다양한 투자 경험 있음,5
관심 있는 투자 상품은?,예금과 적금,1,채권과 안정형 펀드,2,ETF와 우량주,3,성장주와 해외주식,5
수익률과 위험 중 더 중요한 것은?,안정성이 가장 중요하다,1,안정성이 조금 더 중요하다,2,둘 다 비슷하게 중요하다,3,수익률이 더 중요하다,5
투자 정보를 얻는 방식은?,거의 찾아보지 않는다,1,주변 추천을 참고한다,2,뉴스와 기업 정보를 확인한다,3,재무제표와 산업 흐름까지 본다,5
한 종목이 크게 오르면 어떻게 할 것인가?,바로 매도한다,1,일부만 매도한다,2,조금 더 지켜본다,3,성장 가능성이 있으면 계속 보유한다,5
월 소득 중 투자 가능한 비율은?,거의 없다,1,10% 이하,2,10~30%,3,30% 이상,5
본인에게 맞는 투자 스타일은?,손실 없는 안정적인 투자,1,조금의 위험은 감수 가능,2,분석 후 적당한 위험 감수,3,높은 수익을 위한 적극 투자,5
